,mRNA_count,probability,error
0,0,0.0034602076124567,0.0060553633217993
1,1,0.027681660899654,0.0181660899653978
2,2,0.0406574394463667,0.0250865051903114
3,3,0.092560553633218,0.0380622837370241
4,4,0.1245674740484429,0.0328719723183391
5,5,0.1721453287197231,0.0432525951557093
6,6,0.1496539792387543,0.0259515570934256
7,7,0.1098615916955017,0.0484429065743945
8,8,0.1167820069204152,0.0441176470588235
9,9,0.07439446366782,0.0380622837370241
10,10,0.0354671280276816,0.0354671280276817
11,11,0.0216262975778546,0.0086505190311419
12,12,0.0155709342560553,0.009515570934256
13,13,0.0147058823529411,0.0129757785467129
14,14,0.0043252595155709,0.0086505190311418
15,15,0.0008650519031142,0.0043252595155709
